"TRUCK","ACTIVE","SENDFUEL","SENDROUTE","TANKCAP","AVGMPG","SATTYPE"
"  1676         ","Y","Y","Y",235,6.00," "
"  1679         ","Y","Y","Y",235,6.00," "
"  1680         ","Y","Y","Y",235,6.00," "
"  1714         ","Y","Y","Y",200,6.00," "
"   302         ","Y","Y","Y",200,6.00," "
"   301         ","Y","Y","Y",200,6.00," "
"  1715         ","Y","Y","Y",200,6.00," "
"  1716         ","Y","Y","Y",200,6.00," "
"  1717         ","Y","Y","Y",200,6.00," "
"  1718         ","Y","Y","Y",200,6.00," "
"  1719         ","Y","Y","Y",200,6.00," "
"  1720         ","Y","Y","Y",200,6.00," "
"  1721         ","Y","Y","Y",200,6.00," "
"  1722         ","Y","Y","Y",200,6.00," "
"  1723         ","Y","Y","Y",200,6.00," "
"  1724         ","Y","Y","Y",200,6.00," "
"  1725         ","Y","Y","Y",200,6.00," "
"  1726         ","Y","Y","Y",200,6.00," "
"  1727         ","Y","Y","Y",200,6.00," "
"  1728         ","Y","Y","Y",200,6.00," "
"  1729         ","Y","Y","Y",200,6.00," "
"  1730         ","Y","Y","Y",200,6.00," "
"  1731         ","Y","Y","Y",200,6.00," "
"  1732         ","Y","Y","Y",200,6.00," "
"  1733         ","Y","Y","Y",200,6.00," "
"  1734         ","Y","Y","Y",200,6.00," "
"  1735         ","Y","Y","Y",200,6.00," "
"  1736         ","Y","Y","Y",200,6.00," "
"  1737         ","Y","Y","Y",200,6.00," "
"  1738         ","Y","Y","Y",200,6.00," "
"  1739         ","Y","Y","Y",200,6.00," "
"  1740         ","Y","Y","Y",200,6.00," "
"  1741         ","Y","Y","Y",200,6.00," "
"  1742         ","Y","Y","Y",200,6.00," "
"  1743         ","Y","Y","Y",200,6.00," "
"  1744         ","Y","Y","Y",200,6.00," "
"   304         ","Y","Y","Y",200,6.00," "
"  1745         ","Y","Y","Y",200,6.00," "
"  1746         ","Y","Y","Y",200,6.00," "
"  1747         ","Y","Y","Y",200,6.00," "
"  1748         ","Y","Y","Y",200,6.00," "
"  1749         ","Y","Y","Y",200,6.00," "
"   303         ","Y","Y","Y",200,6.00," "
"  1750         ","Y","Y","Y",200,6.00," "
"  1751         ","Y","Y","Y",200,6.00," "
"  1752         ","Y","Y","Y",200,6.00," "
"  1753         ","Y","Y","Y",200,6.00," "
"  1754         ","Y","Y","Y",200,6.00," "
"  1755         ","Y","Y","Y",200,6.00," "
"  1756         ","Y","Y","Y",200,6.00," "
"  1757         ","Y","Y","Y",200,6.00," "
"  1758         ","Y","Y","Y",200,6.00," "
"  1759         ","Y","Y","Y",200,6.00," "
"  1760         ","Y","Y","Y",200,6.00," "
"  1761         ","Y","Y","Y",200,6.00," "
"  1762         ","Y","Y","Y",200,6.00," "
"  1763         ","Y","Y","Y",200,6.00," "
"  1764         ","Y","Y","Y",200,6.00," "
"  1765         ","Y","Y","Y",200,6.00," "
"  1766         ","Y","Y","Y",200,6.00," "
"  1767         ","Y","Y","Y",200,6.00," "
"  1768         ","Y","Y","Y",200,6.00," "
"  1769         ","Y","Y","Y",200,6.00," "
"  1770         ","Y","Y","Y",200,6.00," "
"  1771         ","Y","Y","Y",200,6.00," "
"  1772         ","Y","Y","Y",200,6.00," "
"  1773         ","Y","Y","Y",200,6.00," "
"  1774         ","Y","Y","Y",200,6.00," "
"  1775         ","Y","Y","Y",200,6.00," "
"  1776         ","Y","Y","Y",200,6.00," "
"  1777         ","Y","Y","Y",200,6.00," "
"  1778         ","Y","Y","Y",200,6.00," "
"  1779         ","Y","Y","Y",200,6.00," "
"  1780         ","Y","Y","Y",200,6.00," "
"   305         ","Y","Y","Y",200,6.00," "
"   306         ","Y","Y","Y",200,6.00," "
"   307         ","Y","Y","Y",120,6.00," "
"   308         ","Y","Y","Y",120,6.00," "
"   309         ","Y","Y","Y",120,6.00," "
"   310         ","Y","Y","Y",120,6.00," "
"  1562         ","Y","Y","Y",250,6.00," "
"  1781         ","Y","Y","Y",200,6.00," "
"  1782         ","Y","Y","Y",200,6.00," "
"  1783         ","Y","Y","Y",200,6.00," "
"  1784         ","Y","Y","Y",200,6.00," "
"  1785         ","Y","Y","Y",200,6.00," "
"  1786         ","Y","Y","Y",200,6.00," "
"  1787         ","Y","Y","Y",200,6.00," "
"  1788         ","Y","Y","Y",200,6.00," "
"  1789         ","Y","Y","Y",200,6.00," "
"  1790         ","Y","Y","Y",200,6.00," "
"  1791         ","Y","Y","Y",200,6.00," "
"  1792         ","Y","Y","Y",200,6.00," "
"  1793         ","Y","Y","Y",200,6.00," "
"  1794         ","Y","Y","Y",200,6.00," "
"  1795         ","Y","Y","Y",200,6.00," "
"  1796         ","Y","Y","Y",200,6.00," "
"  1797         ","Y","Y","Y",200,6.00," "
"  1800         ","Y","Y","Y",200,6.00," "
"  1798         ","Y","Y","Y",200,6.00," "
"  1799         ","Y","Y","Y",200,6.00," "
"  1801         ","Y","Y","Y",200,6.00," "
"  1802         ","Y","Y","Y",200,6.00," "
"  1803         ","Y","Y","Y",200,6.00," "
"  1804         ","Y","Y","Y",200,6.00," "
"  1805         ","Y","Y","Y",200,6.00," "
"  1806         ","Y","Y","Y",200,6.00," "
"  1807         ","Y","Y","Y",200,6.00," "
"  1808         ","Y","Y","Y",200,6.00," "
"  1809         ","Y","Y","Y",200,6.00," "
"  1810         ","Y","Y","Y",200,6.00," "
"  1811         ","Y","Y","Y",200,6.00," "
"  1812         ","Y","Y","Y",200,6.00," "
"  1813         ","Y","Y","Y",200,6.00," "
"  1814         ","Y","Y","Y",200,6.00," "
"  1815         ","Y","Y","Y",200,6.00," "
"  1816         ","Y","Y","Y",200,6.00," "
"  1817         ","Y","Y","Y",200,6.00," "
"  1818         ","Y","Y","Y",200,6.00," "
"  1819         ","Y","Y","Y",200,6.00," "
"  1820         ","Y","Y","Y",200,6.00," "
"  1821         ","Y","Y","Y",200,6.00," "
"  1822         ","Y","Y","Y",200,6.00," "
"  1823         ","Y","Y","Y",200,6.00," "
"  1824         ","Y","Y","Y",200,6.00," "
"  1825         ","Y","Y","Y",200,6.00," "
"  1826         ","Y","Y","Y",200,6.00," "
"  1827         ","Y","Y","Y",200,6.00," "
"  1828         ","Y","Y","Y",200,6.00," "
"  1829         ","Y","Y","Y",200,6.00," "
"  1830         ","Y","Y","Y",200,6.00," "
"  1831         ","Y","Y","Y",200,6.00," "
"  1832         ","Y","Y","Y",200,6.00," "
"  1833         ","Y","Y","Y",200,6.00," "
"  1834         ","Y","Y","Y",200,6.00," "
"  1835         ","Y","Y","Y",200,6.00," "
"  1836         ","Y","Y","Y",200,6.00," "
"  1837         ","Y","Y","Y",200,6.00," "
"  1838         ","Y","Y","Y",200,6.00," "
"  1839         ","Y","Y","Y",200,6.00," "
"  1840         ","Y","Y","Y",200,6.00," "
"  1841         ","Y","Y","Y",200,6.00," "
"  1842         ","Y","Y","Y",200,6.00," "
"  1843         ","Y","Y","Y",200,6.00," "
"  1844         ","Y","Y","Y",200,6.00," "
"  1845         ","Y","Y","Y",200,6.00," "
"  1846         ","Y","Y","Y",200,6.00," "
"  1847         ","Y","Y","Y",200,6.00," "
"  1848         ","Y","Y","Y",200,6.00," "
"  1849         ","Y","Y","Y",200,6.00," "
"  1850         ","Y","Y","Y",200,6.00," "
"  1851         ","Y","Y","Y",200,6.00," "
"  1852         ","Y","Y","Y",200,6.00," "
"  1853         ","Y","Y","Y",200,6.00," "
"  1854         ","Y","Y","Y",200,6.00," "
"  1855         ","Y","Y","Y",200,6.00," "
"  1856         ","Y","Y","Y",200,6.00," "
"  1857         ","Y","Y","Y",200,6.00," "
"  1858         ","Y","Y","Y",200,6.00," "
"  1859         ","Y","Y","Y",200,6.00," "
"  1860         ","Y","Y","Y",200,6.00," "
"  1861         ","Y","Y","Y",200,6.00," "
"  1862         ","Y","Y","Y",200,6.00," "
"  1863         ","Y","Y","Y",200,6.00," "
"  1864         ","Y","Y","Y",200,6.00," "
"  1865         ","Y","Y","Y",200,6.00," "
"  1866         ","Y","Y","Y",200,6.00," "
"  1867         ","Y","Y","Y",200,6.00," "
"  1868         ","Y","Y","Y",200,6.00," "
"  1869         ","Y","Y","Y",200,6.00," "
"  1870         ","Y","Y","Y",200,6.00," "
"  1871         ","Y","Y","Y",200,6.00," "
"  1872         ","Y","Y","Y",200,6.00," "
"  1873         ","Y","Y","Y",200,6.00," "
"  1874         ","Y","Y","Y",200,6.00," "
"  1875         ","Y","Y","Y",200,6.00," "
"  1876         ","Y","Y","Y",200,6.00," "
"  1877         ","Y","Y","Y",200,6.00," "
"  1878         ","Y","Y","Y",200,6.00," "
"  1879         ","Y","Y","Y",200,6.00," "
"  1880         ","Y","Y","Y",200,6.00," "
"  1881         ","Y","Y","Y",200,6.00," "
"  1882         ","Y","Y","Y",200,6.00," "
"  1883         ","Y","Y","Y",200,6.00," "
"  1884         ","Y","Y","Y",200,6.00," "
"  1890         ","Y","Y","Y",200,6.00," "
"  1891         ","Y","Y","Y",200,6.00," "
"  1892         ","Y","Y","Y",200,6.00," "
"  1893         ","Y","Y","Y",200,6.00," "
"  1894         ","Y","Y","Y",200,6.00," "
"  1885         ","Y","Y","Y",200,6.00," "
"  1886         ","Y","Y","Y",200,6.00," "
"  1887         ","Y","Y","Y",200,6.00," "
"  1888         ","Y","Y","Y",200,6.00," "
"  1889         ","Y","Y","Y",200,6.00," "
"  1895         ","Y","Y","Y",200,6.00," "
"  1896         ","Y","Y","Y",200,6.00," "
"  1897         ","Y","Y","Y",200,6.00," "
"  1898         ","Y","Y","Y",200,6.00," "
"  1899         ","Y","Y","Y",200,6.00," "
"  1900         ","Y","Y","Y",200,6.00," "
"  1901         ","Y","Y","Y",200,6.00," "
"  1902         ","Y","Y","Y",200,6.00," "
"  1903         ","Y","Y","Y",200,6.00," "
"  1904         ","Y","Y","Y",200,6.00," "
"  1905         ","Y","Y","Y",200,6.00," "
"  1906         ","Y","Y","Y",200,6.00," "
"  1907         ","Y","Y","Y",200,6.00," "
